UUID,Seq ID,Question,"Timestamp with answer","Type (binary, position, time, text)",Text answer,Parsable answer,"Question Category"
0_Basic_3fsczxzf,0,"Where is the bookshelf?",1749623554.303513,position,,[position],spatial
0_Basic_v3dssdff,0,"Where is the glass cabinet located?",1749623597.700569,position,,[position],spatial
0_Basic_vdfsd5ff,0,"Where can I find a group photo?",1749623628.698467,position,,[position],spatial
0_Basic_sdvsd4fg,0,"Where can I find a red umbrella?",1749623436.511464,position,,[position],spatial
0_Basic_cfgdrasd,0,"Where can I find a black bar stool?",1749623600.800358,position,,[position],spatial
0_Basic_dfdhfg54,0,"Where did I put my white ceramic cup?",1749623501.607085,position,,[position],spatial
0_Basic_fgddsf6f,0,"Where can I find a brown wooden cabinet?",1749623653.496764,position,,[position],spatial
0_Basic_4563fsaz,0,"Where is a pile of wooden crates?",1749623787.887634,position,,[position],spatial
0_Basic_2394hgas,0,"Where is the staircase that goes only upstairs?",1749623741.590790,position,,[position],spatial
0_Basic_9867asdo,0,"Where is the construction or renovation taking place?",1749623472.009069,position,,[position],spatial
0_Basic_7834adsj,0,"Where can I find a two-tier refrigerator?",1749623653.496764,position,,[position],spatial
0_Basic_7345wehj,0,"Where can I find cartoon portraits?",1749623700.393572,position,,[position],spatial
0_Basic_2392fewc,0,"Where can I find a red Chinese knot?",1749623616.299296,position,,[position],spatial
0_Basic_2234r34r,0,"Where is a spiral staircase?",1749623558.403227,position,,[position],spatial
0_Basic_3424gd5t,0,"Where is the mascot of the Electrical Engineering Department?",1749623495.407502,position,,[position],spatial
0_Local_sdgf4fe3,0,"Where is the room that has a refrigerator, a microwave, and a window?",1749623502.906983,position,,[position],spatial
0_Local_dfdfe32f,0,"Where is the room that has a refrigerator, a microwave, and a kettle?",1749623654.396703,position,,[position],spatial
0_Local_hnghgfw4,0,"There is a bright window around me, an unoccupied chair, and a black sofa nearby. Could you tell me where I might be right now?",1749623554.303513,position,,[position],spatial
0_Local_xcfhwds1,0,"I'm currently seeing a red chair, a green chair, and a black sofa. Could you tell me where I might be right now?",1749623555.803407,position,,[position],spatial
0_Local_hngutrg3,0,"Where can I find an area with more than eight chairs to hold a discussion meeting?",1749623597.500571,position,,[position],spatial
0_Local_3fsdfre8,0,"Where is the room that allows me to take out a bottle of drink and enjoy the view by the window?",1749623502.906983,position,,[position],spatial
0_Local_kyuhsdfk,0,"Where can I find some books and sit on a nearby sofa to read them?",1749623555.803407,position,,[position],spatial
0_Local_bvhjuo0k,0,"Where can I find a bar stool and a sofa to sit and relax?",1749623739.390986,position,,[position],spatial
0_Local_32yttghy,0,"Where is the box located at the end of the hallway?",1749623788.287613,position,,[position],spatial
0_Local_cxtr7987,0,"I currently see a bright window, a sofa, and some standing posters. Where am I located?",1749623489.207887,position,,[position],spatial
0_Local_sdgfasdf,0,"Where is the area that has some tables and chairs, a window, and several trash bins leaning against the wall?",1749623600.800358,position,,[position],spatial
0_Local_ascdqa23,0,"Could you please tell me where I can find an area that has exactly two chairs and one table?",1749623554.303513,position,,[position],spatial
0_Local_jytfdert,0,"Where can I find a place where someone is currently getting water?",1749623501.607085,position,,[position],spatial
0_Local_4y5dfgwe,0,"Where is the restroom that has some cleaning tools in front of its door?",1749623473.708941,position,,[position],spatial
0_Local_rht34dge,0,"Where is the elevator that has a black garbage bag beside it?",1749623532.604976,position,,[position],spatial
0__cdvsdr43,0,"I am currently located at [-0.50, -0.06, 0.82]. Where is the nearest place to heat up food?",1749623502.906983,position,,[position],spatial
0_Global_dfvhrt43,0,"I am currently located at [-41.48, -71.00, 0.57]. Where is the nearest restroom?",1749623473.708941,position,,[position],spatial
0_Global_8jgfw222,0,"I am currently located at [-43.91, -69.96, 0.53]. Where can I find a trash bin on my way to Room 423?",1749623501.607085,position,,[position],spatial
0_Global_2eefhyt6,0,"I am currently located at [56.33, -132.13, 5.64]. Where is the elevator on my way to the Computer Science Department?",1749623709.292964,position,,[position],spatial
